Instances,VND_(2s),VND_(4s),BVNS_(2s),BVNS_(4s),GVNS_(2s),GVNS_(4s),GVNS_(4s-2s)
P1,1.322,23.486,3.106,10.866,8.51,13.734,1.888
P2,0.89,1.488,1.596,2.248,4.682,5.636,1.256
P3,0.926,3.942,1.832,3.632,4.128,6.19,1.33
P4,1.002,4.016,1.926,3.376,6.142,7.706,1.364
P5,1.09,13.2,2.246,4.068,5.822,8.134,1.482
P6,0.986,4.412,1.832,3.82,4.33,5.924,1.346
P7,1.866,215.648,5.548,42.9,16.37,23.088,2.49
P8,3.558,4844.1,6.164,66.616,37.994,45.602,4.424
P9,1.176,22.476,1.886,6.584,11.062,14.09,4.962
P10,1.224,23.754,2.02,4.064,7.66,9.6,1.656
P11,1.252,25.186,2.204,8.126,8.804,10.824,1.616
P12,1.236,73.452,2.072,7.208,9.382,10.798,3.144
P13,1.212,24.862,1.99,6.434,8.218,10.366,1.626
P14,1.222,24.508,1.888,5.418,9.656,11.902,2.99
P15,1.212,17.468,1.896,22.168,6.088,11.884,1.618
P16,1.196,24.302,2.034,6.102,9.794,12.064,1.622
P17,1.236,25.348,1.906,5.614,8.054,10.644,1.646
P18,1.166,22.202,1.838,6.024,11.086,12.486,1.568
P19,6.998,368964,18.602,140.15,251.364,264.938,8.754
P20,7.234,191938,21.38,1447.46,107.536,149.4,8.476
P21,7.632,169942,32.156,487.698,82.758,106.556,8.726
P22,7.37,452696,23.726,679.69,171.24,205.442,8.82
P23,7.146,190203,18.594,105.016,219.388,258.112,8.674
P24,10.744,1.41279e+06,25.326,699.806,321.808,348.828,12.656
P25,11.018,1.77523e+06,35.724,282.338,194.16,247.54,12.728
